H2	Hydrogen gas
H2O	Water
O2	Dioxygen
H2O2	Hydrogen peroxide
H3N	Ammonia
HNO	Nitroxyl
N2	Dinitrogen
O3	Ozone
CH2O	Formaldehyde
CH4	Methane
CHN	Hydrogen cyanide
CO2	Carbon dioxide
H2N2	Diimide
H2O3	Trioxidane
HNO2	Nitrous acid
O4	Tetraoxygen
C2H2	Acetylene
CH2O2	Formic acid
CH3N	Methanimine
CH4O	Methanol
CHNO	Isocyanic acid
H2O4	Tetraoxidane
H4N2	Hydrazine
HNO3	Nitric acid
C2O2	Ethylene dione
CH2N2	Cyanamide
CH3NO	Formamide
CH4O2	Methanediol
CH5N	Methylamine
CN2O	Nitrosyl cyanide
H2N2O2	Hyponitrous acid
H3N3	Triazene
C2H6	Ethane
CH3NO2	Methyl nitrite
H5N3	Triazane
C2H6O	Ethanol
CH4N2O	Urea
CH4O4	Orthocarbonic acid
C2H5NO2	Nitroethane
C3H8	Propane
C3H8O	Propanol
C6H6	Benzene
C6H12O6	Glucose
